model,1 = K12  Absorption rate constant,2 = V2  Central volume of distribution of sunitinib,3 = QH  Hepatic blood flow,4 = CLP  Clearance of sunitinib,5 = CLM  Clearance of SU12662,6 = V3  Central volume of distribution of SU12662,7 = Q34  Inter-compartmental clearance of SU12662,8 = V4  Peripheral volumes of distribution of SU12662,9 = FM  Fraction of sunitinib converted to SU12662,10 = Q25  Inter-compartmental clearance of Sunitinib,11 = V5  Peripheral volumes of distribution of Sunitinib,12 =  Prop. Error Suni,13 = Prop. Error Metab,1 IIV V2,"OMEGA(2,1)",2 IIV V3,"OMEGA(3,1)","OMEGA(3,2)",3 IIV CLP,"OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)",4 IIV FM,Proportional error sunitinib,Proportional error SU12662,ofv,minimization.successful,covariance_step_run,minimization_successful,covariance_step_successful,covariance_step_warnings,estimate_near_boundary,rounding_errors,zero_gradients,final_zero_gradients,hessian_reset,s_matrix_singular,significant_digits,CPU-time [s],subprob_est_time,subprob_cov_time
17,0.137355406,2250.170618,80,43.2708419,16.61179985,778.3302142,2.502367747,617.3219655,0.21,0.386408177,588,-0.366637,-0.281007,0.057851452,0.052478422,0.118013786,0,-0.0613107,0.085876749,0,0,-0.042057,0.161328134,1,1,-501.0772573,1,1,1,1,0,0,0,0,0,0,0,2.2,,148.15,162.21
18,0.118091494,1740.712233,80,36.27950108,15.91014741,687.4571312,2.999918348,666.6563693,0.21,0.344568967,588,-0.366637,-0.281007,0.065911527,0.032313104,0.154443973,0,-0.0613107,0.142505534,0,0,-0.042057,0.139781149,1,1,-501.0772302,1,1,1,1,0,0,0,0,0,0,0,2.5,,131.94,158.96
19,0.137309157,2027.919097,80,29.26536514,13.34023076,411.6015047,2.575442495,506.2577812,0.21,0.407441175,588,-0.366637,-0.281007,0.061758732,0.03973249,0.164442649,0,-0.0613107,0.095823494,0,0,-0.042057,0.092455306,1,1,-501.077273,1,1,1,1,0,0,0,0,0,0,0,3.3,,147.45,168.54
20,0.196668501,1367.078396,80,21.89000307,11.51492925,364.7614973,1.970503038,587.7469399,0.21,0.375096457,588,-0.366637,-0.281007,0.076487904,0.059215241,0.163371854,0,-0.0613107,0.101851987,0,0,-0.042057,0.135396331,1,1,-501.0772562,1,1,1,1,0,0,0,0,0,0,0,2.6,,170.91,168.68
21,0.151975119,1478.696521,80,34.93646617,16.88544701,565.8891428,2.863868471,513.5269399,0.21,0.333596791,588,-0.366637,-0.281007,0.052763278,0.046681019,0.181654747,0,-0.0613107,0.094890902,0,0,-0.042057,0.149908717,1,1,-501.0772674,1,1,1,1,0,0,0,0,0,0,0,2.7,,155.66,157.09
22,0.146885207,1716.85594,80,34.87132409,20.75802033,480.051515,2.236537438,824.4919345,0.21,0.384517562,588,-0.366637,-0.281007,0.061911146,0.040627988,0.158002288,0,-0.0613107,0.093496605,0,0,-0.042057,0.091604413,1,1,-501.0772715,1,1,1,1,0,0,0,0,0,0,0,2.9,,171.45,163.55
23,0.097351595,1383.657814,80,31.05522902,14.42218731,728.1875409,2.961811189,497.7975497,0.21,0.354144831,588,-0.366637,-0.281007,0.066712331,0.04700384,0.111046414,0,-0.0613107,0.093635652,0,0,-0.042057,0.115017354,1,1,-501.0772586,1,1,1,1,0,0,0,0,0,0,0,2.6,,144.49,157.94
24,0.150162201,2190.591334,80,43.13070107,13.38296282,608.9145467,2.666444261,758.0457955,0.21,0.352751499,588,-0.366637,-0.281007,0.053235399,0.040959702,0.123462246,0,-0.0613107,0.084858795,0,0,-0.042057,0.105115851,1,1,-501.0768803,1,1,1,1,0,0,0,0,0,0,0,2.3,,133.43,166.63
25,0.114912307,2638.338525,80,39.16983313,14.15986417,376.1584816,2.435937899,543.2238929,0.21,0.529602684,588,-0.366637,-0.281007,0.089150106,0.04871421,0.181402838,0,-0.0613107,0.080407452,0,0,-0.042057,0.120029642,1,1,-501.0772666,1,1,1,1,0,0,0,0,0,0,0,2.5,,148.26,165.79
26,0.099920862,2085.256007,80,32.54423875,14.720238,998.9153921,1.874103186,741.0116015,0.21,0.355503116,588,-0.366637,-0.281007,0.074525764,0.064772278,0.185250064,0,-0.0613107,0.07433274,0,0,-0.042057,0.109400545,1,1,-501.0770343,1,1,1,1,0,0,0,0,0,0,0,2.3,,139.54,162.95
27,0.120728912,1823.970017,80,25.23382429,16.51317212,274.7510323,3.539911018,568.6241188,0.21,0.502865882,588,-0.366637,-0.281007,0.051643134,0.033597709,0.168584994,0,-0.0613107,0.107510572,0,0,-0.042057,0.134276279,1,1,-501.0769932,1,1,1,1,0,0,0,0,0,0,0,2.2,,148.72,164.24
28,0.145472633,1641.283393,80,41.44786084,22.20124967,367.7633363,2.998691134,720.8231643,0.21,0.347340544,588,-0.366637,-0.281007,0.060489056,0.038429666,0.192988359,0,-0.0613107,0.070045693,0,0,-0.042057,0.092514503,1,1,-501.0770797,1,1,1,1,0,0,0,0,0,0,0,2.2,,173.06,167.74
