model,1 = K12  Absorption rate constant,2 = V2  Central volume of distribution of sunitinib,3 = QH  Hepatic blood flow,4 = CLP  Clearance of sunitinib,5 = CLM  Clearance of SU12662,6 = V3  Central volume of distribution of SU12662,7 = Q34  Inter-compartmental clearance of SU12662,8 = V4  Peripheral volumes of distribution of SU12662,9 = FM  Fraction of sunitinib converted to SU12662,10 = Q25  Inter-compartmental clearance of Sunitinib,11 = V5  Peripheral volumes of distribution of Sunitinib,12 =  Prop. Error Suni,13 = Prop. Error Metab,1 IIV V2,"OMEGA(2,1)",2 IIV V3,"OMEGA(3,1)","OMEGA(3,2)",3 IIV CLP,"OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)",4 IIV FM,Proportional error sunitinib,Proportional error SU12662,ofv,minimization.successful,covariance_step_run,minimization_successful,covariance_step_successful,covariance_step_warnings,estimate_near_boundary,rounding_errors,zero_gradients,final_zero_gradients,hessian_reset,s_matrix_singular,significant_digits,CPU-time [s],subprob_est_time,subprob_cov_time
67,0.099481651,1545.021841,80,24.53422596,20.13461907,490.2103013,3.464333887,610.8823185,0.21,0.275408269,588,-0.366637,-0.281007,0.077694854,0.040587458,0.230277246,0,-0.0613107,0.068993578,0,0,-0.042057,0.100006048,1,1,-501.0768715,1,1,1,1,0,0,0,0,0,1,0,2.2,,191.95,161.32
68,0.095406089,2450.91417,80,55.5687566,10.90964289,945.0104708,3.682791193,531.3749519,0.21,0.349860707,588,-0.366637,-0.281007,0.058954633,0.046382215,0.161145148,0,-0.0613107,0.10818273,0,0,-0.042057,0.11805328,1,1,-501.0772438,1,1,1,1,0,0,0,0,0,2,0,2.2,,258.95,170.7
69,0.156569057,1656.263408,80,38.35621425,12.8053374,2526.948937,1.947568208,555.0679489,0.21,0.361969089,588,-0.366637,-0.281007,0.062040892,0.042065195,0.187704959,0,-0.0613107,0.088008594,0,0,-0.042057,0.110801338,1,1,-501.077146,1,1,1,1,0,0,0,0,0,0,0,2.2,,192.12,164.36
70,0.152080872,2033.349827,80,26.52300441,21.35193958,446.4910337,2.924002602,639.3132479,0.21,0.495645404,588,-0.366637,-0.281007,0.073579504,0.039051531,0.135882197,0,-0.0613107,0.11426504,0,0,-0.042057,0.096996799,1,1,-501.0772707,1,1,1,1,0,0,0,0,0,0,0,2.3,,181.54,171.1
71,0.125846123,1350.234111,80,30.57306671,17.72844584,483.1784936,3.238770288,605.5180926,0.21,0.367985712,588,-0.366637,-0.281007,0.091773295,0.058362366,0.193742584,0,-0.0613107,0.068766792,0,0,-0.042057,0.116644515,1,1,-501.0772579,1,1,1,1,0,0,0,0,0,0,0,2.5,,171.1,166.23
72,0.153376095,2660.258622,80,45.51566949,12.74609612,713.8088031,2.795978621,962.0631038,0.21,0.366570008,588,-0.366637,-0.281007,0.045428648,0.059942677,0.164699695,0,-0.0613107,0.082917975,0,0,-0.042057,0.128929513,1,1,-501.0772074,1,1,1,1,0,0,0,0,0,0,0,2.5,,165.12,166.97
73,0.240168557,2416.94153,80,27.20089974,11.11176125,541.7090141,2.691742179,464.7714282,0.21,0.431480289,588,-0.366637,-0.281007,0.055631738,0.062485129,0.151530168,0,-0.0613107,0.06187458,0,0,-0.042057,0.083286211,1,1,,0,run failed: NONMEM run failed,,,,,,,,,,,,,
74,0.117694093,2113.61825,80,34.4909596,15.97800242,852.2611188,3.782411228,477.7644873,0.21,0.301822516,588,-0.366637,-0.281007,0.052211618,0.038498577,0.162530061,0,-0.0613107,0.07384879,0,0,-0.042057,0.1579134,1,1,-501.0771468,1,1,1,1,0,0,0,0,0,0,0,2.3,,127.93,166.32
75,0.125947306,2117.945205,80,52.32682128,14.20448977,351.5919367,2.521437168,683.6109657,0.21,0.428817003,588,-0.366637,-0.281007,0.075207732,0.048501984,0.207172533,0,-0.0613107,0.064163551,0,0,-0.042057,0.092277288,1,1,-501.077113,1,1,1,1,0,0,0,0,0,0,0,2.5,,309.18,163.07
76,0.135765984,1594.412527,80,39.90329379,13.72016442,693.2592745,1.586438557,753.3514575,0.21,0.413730377,588,-0.366637,-0.281007,0.047662409,0.057937151,0.188888925,0,-0.0613107,0.104093268,0,0,-0.042057,0.128627523,1,1,-501.0772623,1,1,1,1,0,0,0,0,0,0,0,3,,176.2,160.7
77,0.126904212,1507.43244,80,29.04059392,13.85922389,652.0632277,1.692492762,604.7870823,0.21,0.400695883,588,-0.366637,-0.281007,0.053072376,0.037039231,0.146888923,0,-0.0613107,0.081766654,0,0,-0.042057,0.091434991,1,1,-501.0772035,1,1,1,1,0,0,0,0,0,0,0,2.1,,140.48,161.7
78,0.14372263,1803.24258,80,36.10138304,16.84861332,730.1032414,2.963161512,522.5793705,0.21,0.406234994,588,-0.366637,-0.281007,0.06971541,0.043225301,0.140296102,0,-0.0613107,0.078655833,0,0,-0.042057,0.125977936,1,1,-501.0772382,1,1,1,1,0,0,0,0,0,0,0,2.5,,126.42,170.72
79,0.108721259,1537.475102,80,36.3502739,16.36812762,1195.366545,2.972858002,476.1772376,0.21,0.405774973,588,-0.366637,-0.281007,0.051053601,0.032677603,0.174998807,0,-0.0613107,0.085048862,0,0,-0.042057,0.106560099,1,1,-501.0771368,1,1,1,1,0,0,0,0,0,0,0,2,,130.28,172.66
80,0.201624713,1915.550891,80,33.69376349,17.97276221,541.3234054,1.973422267,571.1371122,0.21,0.424067436,588,-0.366637,-0.281007,0.059308004,0.05407687,0.137507416,0,-0.0613107,0.057412282,0,0,-0.042057,0.133954877,1,1,-501.0766831,1,1,1,1,0,0,0,0,0,0,0,2.3,,198.54,159.13
81,0.132898266,1574.765511,80,24.78935567,21.72919372,521.5720188,2.518730803,506.3165206,0.21,0.429199354,588,-0.366637,-0.281007,0.063795162,0.05561206,0.116508378,0,-0.0613107,0.074478899,0,0,-0.042057,0.087691437,1,1,-501.0771487,1,1,1,1,0,0,0,0,0,0,0,2.7,,411.57,161.49
82,0.11878999,1745.76142,80,32.74087256,15.36559171,605.0232829,3.275417747,575.0588321,0.21,0.25744101,588,-0.366637,-0.281007,0.070229995,0.055523546,0.164648146,0,-0.0613107,0.069344479,0,0,-0.042057,0.11289836,1,1,-501.077166,1,1,1,1,0,0,0,0,0,0,0,2.4,,138.29,160.38
83,0.139604384,2667.812637,80,43.05068586,16.47547447,1659.783974,2.165786616,476.0711263,0.21,0.512021049,588,-0.366637,-0.281007,0.058784603,0.043837771,0.123099999,0,-0.0613107,0.113756446,0,0,-0.042057,0.122123331,1,1,-501.0766828,1,1,1,1,0,0,0,0,0,0,0,2.2,,166.3,165.79
84,0.186213419,1320.629576,80,27.25163487,16.33888348,893.7094667,3.193832542,709.7309241,0.21,0.292840508,588,-0.366637,-0.281007,0.064328274,0.063332836,0.155727025,0,-0.0613107,0.080032954,0,0,-0.042057,0.101872648,1,1,-501.0771825,1,1,1,1,0,0,0,0,0,1,0,2.3,,171.86,168.52
85,0.119873227,1405.1367,80,37.37030269,22.13278341,691.9229098,2.44270702,617.0718521,0.21,0.349173187,588,-0.366637,-0.281007,0.067476891,0.034111836,0.183080694,0,-0.0613107,0.090190029,0,0,-0.042057,0.117490225,1,1,-501.0771775,1,1,1,1,0,0,0,0,0,0,0,2,,167.2,161.86
86,0.141197746,1525.440811,80,27.09469076,17.03885554,879.5246649,2.498235008,575.8630248,0.21,0.391519763,588,-0.366637,-0.281007,0.060836686,0.057638481,0.208132374,0,-0.0613107,0.094308003,0,0,-0.042057,0.112629295,1,1,-501.0772299,1,1,1,1,0,0,0,0,0,0,0,2.3,,155.58,162.07
87,0.120754477,1958.974134,80,24.59075252,17.43270837,1820.578937,2.137500563,666.4956712,0.21,0.371635836,588,-0.366637,-0.281007,0.061488266,0.037882746,0.141174128,0,-0.0613107,0.093034435,0,0,-0.042057,0.108753249,1,1,-501.0771551,1,1,1,1,0,0,0,0,0,0,0,2.1,,163.75,1393.34
88,0.111679423,1642.90104,80,35.47436447,27.71626345,1182.176101,2.729296435,616.8656539,0.21,0.399244465,588,-0.366637,-0.281007,0.07453324,0.049379141,0.191447977,0,-0.0613107,0.078149956,0,0,-0.042057,0.115257352,1,1,-501.0769699,1,1,1,1,0,0,0,0,0,0,0,2.2,,157.33,1323.59
89,0.13331951,1099.959649,80,36.217975,15.43660119,595.3975323,1.959906361,632.2720311,0.21,0.395085647,588,-0.366637,-0.281007,0.057918782,0.057322643,0.158202578,0,-0.0613107,0.084303856,0,0,-0.042057,0.104025268,1,1,-501.0772395,1,1,1,1,0,0,0,0,0,0,0,2.7,,1359.28,166.5
90,0.107680233,2120.36224,80,36.18616248,21.13219722,856.4381299,2.851218902,464.4511187,0.21,0.33654377,588,-0.366637,-0.281007,0.052348472,0.047275378,0.161579242,0,-0.0613107,0.109682809,0,0,-0.042057,0.108998689,1,1,-501.0772841,1,1,1,1,0,0,0,0,0,0,0,2.6,,165.26,162.63
91,0.142756122,1897.077099,80,24.20508841,18.12301576,1025.302459,2.520317831,625.5384442,0.21,0.305821343,588,-0.366637,-0.281007,0.06587293,0.058276083,0.163583882,0,-0.0613107,0.068544204,0,0,-0.042057,0.139580171,1,1,-501.0767227,1,1,1,1,0,0,0,0,0,0,0,2.2,,168.21,164.99
92,0.137346299,1144.454555,80,25.07198049,19.19673079,473.8109131,2.785763078,503.0346763,0.21,0.413030335,588,-0.366637,-0.281007,0.089448231,0.053196386,0.158381072,0,-0.0613107,0.06760092,0,0,-0.042057,0.143085203,1,1,-501.0772797,1,1,1,1,0,0,0,0,0,0,0,2.2,,211.28,167.75
93,0.148242102,1953.829218,80,42.68009676,15.19551805,941.7933889,2.277143149,527.2512287,0.21,0.32069713,588,-0.366637,-0.281007,0.052125095,0.034199157,0.213022001,0,-0.0613107,0.080974489,0,0,-0.042057,0.124932097,1,1,-501.0770886,1,1,1,1,0,0,0,0,0,0,0,2.1,,130.42,163.93
94,0.165258577,2269.159681,80,39.9716931,17.24359806,603.7784706,1.896109422,527.5621993,0.21,0.241458159,588,-0.366637,-0.281007,0.064798332,0.039745955,0.167246886,0,-0.0613107,0.105391348,0,0,-0.042057,0.115838394,1,1,-501.0770141,1,1,1,1,0,0,0,0,0,0,0,2.1,,131.95,170.75
95,0.178191596,1432.175894,80,25.45288133,18.88645386,666.0680961,3.453998521,855.8150531,0.21,0.552273276,588,-0.366637,-0.281007,0.085281626,0.045029164,0.136224675,0,-0.0613107,0.105616769,0,0,-0.042057,0.123819815,1,1,-501.0772414,1,1,1,1,0,0,0,0,0,0,0,2.4,,143.44,160.09
96,0.120843208,1515.689846,80,23.6287047,17.09104426,761.5056273,2.749126747,864.1289668,0.21,0.262571086,588,-0.366637,-0.281007,0.082456181,0.028871944,0.158475239,0,-0.0613107,0.070910685,0,0,-0.042057,0.101247617,1,1,-501.0772479,1,1,1,1,0,0,0,0,0,0,0,2.8,,170.62,158.15
97,0.12902764,1513.143236,80,33.16794939,15.34031854,1138.511544,2.167677374,344.2599694,0.21,0.40576246,588,-0.366637,-0.281007,0.087661199,0.044665962,0.17000353,0,-0.0613107,0.084512736,0,0,-0.042057,0.119303443,1,1,-501.0772876,1,1,1,1,0,0,0,0,0,0,0,3.2,,178.15,164.63
98,0.153253948,2267.310149,80,30.15719938,27.31360446,732.2722128,2.289333929,329.5239935,0.21,0.371938755,588,-0.366637,-0.281007,0.043920638,0.041753034,0.180690177,0,-0.0613107,0.083555979,0,0,-0.042057,0.089161979,1,1,-501.0770513,1,1,1,1,0,0,0,0,0,0,0,2,,231.99,170.16
99,0.169174115,1557.705171,80,24.28335664,20.21856724,776.5376978,2.31843105,815.6727688,0.21,0.397148745,588,-0.366637,-0.281007,0.049746303,0.049318493,0.147719322,0,-0.0613107,0.067248443,0,0,-0.042057,0.139654688,1,1,-501.076966,0,1,0,0,0,0,1,0,0,1,0,1.9,,244.89,0
100,0.108833322,2420.013482,80,30.59869179,16.11481155,664.0761455,3.235844619,536.9546647,0.21,0.402643073,588,-0.366637,-0.281007,0.056650744,0.055419305,0.150842545,0,-0.0613107,0.106854891,0,0,-0.042057,0.087365152,1,1,-501.0772235,1,1,1,1,0,0,0,0,0,0,0,2.7,,144.89,159.73
101,0.174757206,1147.260527,80,32.8592537,18.56610493,528.4114375,2.429680026,517.6085099,0.21,0.450977821,588,-0.366637,-0.281007,0.058447171,0.047315146,0.195130554,0,-0.0613107,0.110329816,0,0,-0.042057,0.097986713,1,1,-501.0767755,1,1,1,1,0,0,0,0,0,1,0,2.1,,169.44,160.33
102,0.140550276,1891.392751,80,34.02193913,14.40479334,578.1107734,3.105739181,520.7305019,0.21,0.423226449,588,-0.366637,-0.281007,0.050449431,0.040106824,0.136431507,0,-0.0613107,0.082385795,0,0,-0.042057,0.097165414,1,1,-501.0772701,1,1,1,1,0,0,0,0,0,0,0,2.5,,147.53,161.38
103,0.104886319,1827.713152,80,39.14209745,13.15889894,498.0344175,1.834365842,644.9613199,0.21,0.322944224,588,-0.366637,-0.281007,0.060041807,0.033604675,0.159251307,0,-0.0613107,0.09613049,0,0,-0.042057,0.162521116,1,1,-501.0770852,1,1,1,1,0,0,0,0,0,0,0,2.2,,163.93,168.04
104,0.11465746,2103.099196,80,24.69978543,15.28201895,277.6724537,1.662763519,519.72323,0.21,0.360685895,588,-0.366637,-0.281007,0.060118912,0.061680917,0.169182978,0,-0.0613107,0.079081917,0,0,-0.042057,0.10152928,1,1,-501.076814,1,1,1,1,0,0,0,0,0,0,0,2.3,,159.49,165.86
105,0.107139796,2172.955341,80,27.26778338,16.59143461,483.2884481,1.614362757,439.8933776,0.21,0.309958761,588,-0.366637,-0.281007,0.06257261,0.062273422,0.197384346,0,-0.0613107,0.07212158,0,0,-0.042057,0.125659083,1,1,-501.0772003,1,1,1,1,0,0,0,0,0,0,0,2.3,,280.03,163.22
106,0.123958972,1544.364245,80,30.22707208,14.77348041,1039.015477,2.242184258,649.5490142,0.21,0.392055055,588,-0.366637,-0.281007,0.046658133,0.043784436,0.140542248,0,-0.0613107,0.116749009,0,0,-0.042057,0.105564889,1,1,-501.0770519,1,1,1,1,0,0,0,0,0,0,0,2.1,,158.7,157.45
107,0.172711798,1886.340349,80,33.15372476,12.86999032,1087.041038,2.397370429,530.5592161,0.21,0.39146826,588,-0.366637,-0.281007,0.058058872,0.039842142,0.189886138,0,-0.0613107,0.092049867,0,0,-0.042057,0.144387803,1,1,-501.0772165,1,1,1,1,0,0,0,0,0,0,0,2.2,,147.45,158.12
108,0.126778946,1213.508599,80,53.2103009,19.10582295,865.4304772,2.453183803,612.2496881,0.21,0.384380235,588,-0.366637,-0.281007,0.06850215,0.032633763,0.155393078,0,-0.0613107,0.090430145,0,0,-0.042057,0.10793984,1,1,-501.0772696,1,1,1,1,0,0,0,0,0,0,0,2.9,,277.67,166.2
109,0.096817919,1726.066119,80,19.414651,16.06600919,652.6163168,3.030861688,662.103776,0.21,0.281114976,588,-0.366637,-0.281007,0.063528089,0.060984684,0.268396631,0,-0.0613107,0.061347788,0,0,-0.042057,0.118412493,1,1,-501.0772491,1,1,1,1,0,0,0,0,0,0,0,2.8,,182.9,165.85
110,0.150558531,1508.255841,80,38.2320324,22.33823085,536.9462998,2.592697051,611.0994379,0.21,0.439215018,588,-0.366637,-0.281007,0.069396697,0.037348561,0.19003374,0,-0.0613107,0.096397274,0,0,-0.042057,0.089765723,1,1,-501.0772323,1,1,1,1,0,0,0,0,0,0,0,2.4,,156.68,161.58
111,0.149881001,2211.555915,80,22.57624189,15.82395369,622.1437244,1.956059917,383.7058052,0.21,0.403114968,588,-0.366637,-0.281007,0.055664313,0.04053929,0.171502101,0,-0.0613107,0.131194936,0,0,-0.042057,0.121147562,1,1,-501.077239,1,1,1,1,0,0,0,0,0,0,0,2.4,,175.04,161.34
112,0.104669188,1809.366291,80,59.30478062,20.87793766,1284.086933,4.078494576,607.2671142,0.21,0.434905572,588,-0.366637,-0.281007,0.06752465,0.046001383,0.172349004,0,-0.0613107,0.078252034,0,0,-0.042057,0.070575301,1,1,-501.0772365,1,1,1,1,0,0,0,0,0,0,0,2.7,,209.78,164.13
113,0.127147005,2146.416098,80,42.64177404,14.28712751,716.2770586,1.784855626,535.2616194,0.21,0.358905802,588,-0.366637,-0.281007,0.064948321,0.053849449,0.187316686,0,-0.0613107,0.087574138,0,0,-0.042057,0.146182637,1,1,-501.0771859,1,1,1,1,0,0,0,0,0,0,0,2.1,,146.56,168.37
114,0.13272282,1439.877678,80,38.7635006,18.46576365,287.8374022,2.60319259,785.7605886,0.21,0.301884014,588,-0.366637,-0.281007,0.045685862,0.058953535,0.173966037,0,-0.0613107,0.119448484,0,0,-0.042057,0.104308342,1,1,-501.0771056,1,1,1,1,0,0,0,0,0,1,0,2.4,,193.36,163.79
115,0.152011597,1608.339704,80,30.99979477,12.99242764,771.1982572,2.654814051,515.6382299,0.21,0.44022593,588,-0.366637,-0.281007,0.088440102,0.038028426,0.146320329,0,-0.0613107,0.076296747,0,0,-0.042057,0.143090973,1,1,-501.0772882,1,1,1,1,0,0,0,0,0,0,0,2.9,,172.84,162.59
116,0.132983862,1671.669651,80,31.66478461,16.77384078,990.2274772,3.380823981,734.3544166,0.21,0.359617084,588,-0.366637,-0.281007,0.063393078,0.056505306,0.143340887,0,-0.0613107,0.09646602,0,0,-0.042057,0.100003331,1,1,-501.076915,1,1,1,1,0,0,0,0,0,0,0,2.2,,123.98,163.54
117,0.147396414,1507.021507,80,18.75440426,20.04575815,810.8315704,1.505654541,348.6480361,0.21,0.34588435,588,-0.366637,-0.281007,0.078640295,0.03119199,0.161018616,0,-0.0613107,0.095378901,0,0,-0.042057,0.125765907,1,1,-501.0772603,1,1,1,1,0,0,0,0,0,0,0,2.3,,187.07,163.98
118,0.20589588,1713.545804,80,24.29844712,14.03686796,504.3748315,1.735020876,641.3542305,0.21,0.378148313,588,-0.366637,-0.281007,0.070500469,0.038145291,0.157409423,0,-0.0613107,0.123636841,0,0,-0.042057,0.158419401,1,1,-501.077217,1,1,1,1,0,0,0,0,0,0,0,2.4,,156.46,164.23
119,0.13472399,2246.144591,80,28.57897827,20.1006904,708.4010381,2.39591863,597.7711892,0.21,0.324427543,588,-0.366637,-0.281007,0.066382051,0.040816985,0.171261978,0,-0.0613107,0.095039924,0,0,-0.042057,0.111442897,1,1,-501.0772313,1,1,1,1,0,0,0,0,0,0,0,2.2,,145.32,164.99
120,0.10692362,2183.39852,80,31.56390112,19.21198021,616.2388886,2.232932288,509.1871403,0.21,0.321908986,588,-0.366637,-0.281007,0.047338694,0.045161971,0.14681356,0,-0.0613107,0.083974406,0,0,-0.042057,0.093367433,1,1,-501.0769866,1,1,1,1,0,0,0,0,0,0,0,2.3,,143.49,166.83
121,0.150480339,1301.292763,80,33.40792373,16.90658053,890.472089,2.364247033,756.4376491,0.21,0.4480724,588,-0.366637,-0.281007,0.063909424,0.059106107,0.186013644,0,-0.0613107,0.094934583,0,0,-0.042057,0.099202043,1,1,-501.0772672,1,1,1,1,0,0,0,0,0,0,0,2.6,,169.52,164.96
122,0.109265022,2037.741042,80,42.95293019,18.45633813,632.1310585,3.194470383,614.1734122,0.21,0.426617096,588,-0.366637,-0.281007,0.047986238,0.04784506,0.157084041,0,-0.0613107,0.097271102,0,0,-0.042057,0.111635057,1,1,-501.0772502,1,1,1,1,0,0,0,0,0,0,0,2.3,,137.13,163.23
123,0.159244067,1351.385037,80,36.02312407,16.08993524,958.0314001,2.342144722,403.8545022,0.21,0.370493545,588,-0.366637,-0.281007,0.057206779,0.046673365,0.1607052,0,-0.0613107,0.083325923,0,0,-0.042057,0.145826352,1,1,-501.077163,1,1,1,1,0,0,0,0,0,0,0,2.3,,152.62,164.95
124,0.127958526,1627.943259,80,30.03604306,15.70607671,1612.497749,2.960054291,647.7695904,0.21,0.305001457,588,-0.366637,-0.281007,0.075887653,0.069351681,0.180765818,0,-0.0613107,0.064875473,0,0,-0.042057,0.142831984,1,1,-501.0772381,1,1,1,1,0,0,0,0,0,0,0,2.9,,188.24,164.49
125,0.127052565,1774.316671,80,27.70515674,12.59558235,757.8637878,2.810972226,502.9560659,0.21,0.27342892,588,-0.366637,-0.281007,0.065696369,0.0429864,0.181933582,0,-0.0613107,0.164864937,0,0,-0.042057,0.092026759,1,1,-501.0772333,1,1,1,1,0,0,0,0,0,0,0,2.5,,178.38,161.27
126,0.135919134,1559.702264,80,28.92865323,14.90230071,635.8464807,2.543256745,434.1724379,0.21,0.340827491,588,-0.366637,-0.281007,0.062593293,0.036455649,0.158688444,0,-0.0613107,0.079639656,0,0,-0.042057,0.122757618,1,1,-501.0771578,1,1,1,1,0,0,0,0,0,0,0,2.3,,139.34,164.6
127,0.130797105,1547.255411,80,38.762456,16.07800262,254.4848568,3.014128913,328.0724466,0.21,0.35668232,588,-0.366637,-0.281007,0.048670691,0.050895251,0.156223848,0,-0.0613107,0.082623325,0,0,-0.042057,0.111972385,1,1,-501.0771902,1,1,1,1,0,0,0,0,0,0,0,2.3,,197.69,165.98
128,0.173375777,2193.213593,80,22.10213402,15.38229072,600.0752238,3.435503342,444.9653045,0.21,0.453443951,588,-0.366637,-0.281007,0.080460623,0.057036683,0.170009902,0,-0.0613107,0.092130441,0,0,-0.042057,0.146557428,1,1,-501.0772671,1,1,1,1,0,0,0,0,0,0,0,2.2,,157.23,164.7
129,0.134243005,1737.883105,80,39.68913941,18.45439343,614.0646255,3.146207887,473.8435782,0.21,0.430828991,588,-0.366637,-0.281007,0.06010234,0.04773451,0.263255569,0,-0.0613107,0.079901429,0,0,-0.042057,0.102346156,1,1,-501.0772538,1,1,1,1,0,0,0,0,0,0,0,2.4,,148.21,165.52
130,0.195093298,1269.001021,80,34.33022836,14.02754822,420.2410719,2.951587756,652.1478898,0.21,0.334612807,588,-0.366637,-0.281007,0.047354377,0.037615536,0.212060933,0,-0.0613107,0.101733214,0,0,-0.042057,0.10811842,1,1,-501.0769821,1,1,1,1,0,0,0,0,0,0,0,2.4,,148.54,163.81
131,0.104910471,2077.360588,80,50.13214556,16.8087472,1331.898562,3.823754411,513.7742111,0.21,0.381337802,588,-0.366637,-0.281007,0.053646207,0.043051761,0.282981296,0,-0.0613107,0.109895668,0,0,-0.042057,0.114079169,1,1,-501.077245,1,1,1,1,0,0,0,0,0,0,0,2.5,,160.73,162.35
132,0.108394168,1258.818191,80,35.01616208,12.56069478,517.7674364,2.000609751,488.7896641,0.21,0.361983161,588,-0.366637,-0.281007,0.065564978,0.043588898,0.186462805,0,-0.0613107,0.074400287,0,0,-0.042057,0.095298969,1,1,-501.0772561,1,1,1,1,0,0,0,0,0,0,0,2.5,,154.66,168.3
133,0.175617844,984.7269986,80,54.1267723,20.29100139,376.1776667,2.83498324,663.6949968,0.21,0.264302474,588,-0.366637,-0.281007,0.051812938,0.052288363,0.130567238,0,-0.0613107,0.076940368,0,0,-0.042057,0.085714054,1,1,-501.0770922,1,1,1,1,0,0,0,0,0,0,0,2.1,,168.54,167.77
134,0.145129068,1798.85363,80,41.64204221,14.72881824,586.3372118,2.474734667,711.4292532,0.21,0.307650187,588,-0.366637,-0.281007,0.067640598,0.036134309,0.213188699,0,-0.0613107,0.090070472,0,0,-0.042057,0.12525477,1,1,-501.0772514,1,1,1,1,0,0,0,0,0,0,0,2.2,,150.13,165.81
135,0.12693789,2554.855338,80,19.5873306,25.82723384,715.3365986,3.353976881,735.502773,0.21,0.439346279,588,-0.366637,-0.281007,0.060794975,0.049292204,0.202911737,0,-0.0613107,0.078331347,0,0,-0.042057,0.059659998,1,1,-501.0770243,1,1,1,1,0,0,0,0,0,0,0,2,,223.09,166.3
136,0.142509501,1442.956848,80,25.37121703,18.06123924,821.8288638,2.976809763,682.6100705,0.21,0.430015869,588,-0.366637,-0.281007,0.088611555,0.055352208,0.193764998,0,-0.0613107,0.089497799,0,0,-0.042057,0.126040513,1,1,-501.0772524,1,1,1,1,0,0,0,0,0,0,0,2.6,,157.99,162.05
137,0.100929702,1462.910575,80,46.13686897,13.5190668,1475.246191,2.557396993,502.5415654,0.21,0.503089141,588,-0.366637,-0.281007,0.049454122,0.035378376,0.168545682,0,-0.0613107,0.133308761,0,0,-0.042057,0.106303481,1,1,-501.0769343,1,1,1,1,0,0,0,0,0,0,0,2,,154.27,167.41
138,0.085167219,1640.413412,80,27.21715527,15.1797818,717.5452564,2.857239042,447.4238029,0.21,0.278126508,588,-0.366637,-0.281007,0.055584654,0.048927686,0.158785679,0,-0.0613107,0.066471357,0,0,-0.042057,0.074608783,1,1,-501.0772716,1,1,1,1,0,0,0,0,0,0,0,2.8,,171.27,168.63
139,0.100730747,1675.149405,80,41.12120156,17.02484168,809.2913662,3.481705682,361.7182571,0.21,0.365756582,588,-0.366637,-0.281007,0.058830598,0.05355359,0.202919262,0,-0.0613107,0.087147846,0,0,-0.042057,0.077398045,1,1,-501.0759175,1,1,1,1,0,0,0,0,0,0,0,2.1,,128.94,169.73
140,0.111736278,1252.32175,80,35.97208403,14.38095817,928.5954404,2.451391864,656.3261906,0.21,0.382612979,588,-0.366637,-0.281007,0.059587699,0.062722884,0.140018345,0,-0.0613107,0.059934497,0,0,-0.042057,0.129284005,1,1,,0,run failed: NONMEM run failed,,,,,,,,,,,,,
141,0.209735034,1709.488872,80,21.33467377,20.97892403,604.7583518,2.73396978,466.4877201,0.21,0.27345736,588,-0.366637,-0.281007,0.051405929,0.038024993,0.132469515,0,-0.0613107,0.093833769,0,0,-0.042057,0.107627273,1,1,-501.075481,1,1,1,1,0,0,0,0,0,0,0,2.3,,221,160
142,0.170031469,1824.504678,80,25.23768403,15.30071597,781.0443499,3.595106751,534.0289237,0.21,0.411926413,588,-0.366637,-0.281007,0.061111001,0.040938241,0.142685506,0,-0.0613107,0.105647577,0,0,-0.042057,0.101608446,1,1,-501.0772018,1,1,1,1,0,0,0,0,0,0,0,2.4,,161.68,158.2
143,0.156645057,1707.544014,80,34.32056282,19.30048101,843.0215675,2.42382961,631.3186555,0.21,0.336814443,588,-0.366637,-0.281007,0.054641553,0.054650461,0.17476424,0,-0.0613107,0.096833245,0,0,-0.042057,0.117949324,1,1,-501.0772739,1,1,1,1,0,0,0,0,0,0,0,2.7,,138.95,165.11
144,0.097360707,1393.706679,80,48.01456289,12.04981574,523.7977019,2.248639819,408.4071764,0.21,0.425621948,588,-0.366637,-0.281007,0.06974276,0.058016693,0.191700072,0,-0.0613107,0.064233336,0,0,-0.042057,0.094151592,1,1,-501.0772234,1,1,1,1,0,0,0,0,0,0,0,2,,198.19,167.37
145,0.125946304,1944.913544,80,35.96507504,16.84974531,512.6581562,2.18212334,548.0203737,0.21,0.388595869,588,-0.366637,-0.281007,0.085262537,0.041490194,0.134632147,0,-0.0613107,0.076197844,0,0,-0.042057,0.114384874,1,1,-501.0770445,1,1,1,1,0,0,0,0,0,0,0,2.1,,121.22,166.08
146,0.119989502,1870.192853,80,34.30092748,11.65590106,911.5627089,2.861474879,516.2455986,0.21,0.361343303,588,-0.366637,-0.281007,0.067124409,0.051360734,0.173751895,0,-0.0613107,0.106255514,0,0,-0.042057,0.122576311,1,1,-501.0772706,1,1,1,1,0,0,0,0,0,0,0,2.7,,189.48,156.24
147,0.111512296,1890.994591,80,26.70259048,22.43647804,638.1955106,2.394443962,513.7504431,0.21,0.423864351,588,-0.366637,-0.281007,0.061120438,0.052310847,0.222189956,0,-0.0613107,0.094270696,0,0,-0.042057,0.120639355,1,1,-501.0772468,1,1,1,1,0,0,0,0,0,0,0,2.1,,179.38,163.08
148,0.105344592,1999.071269,80,38.45256643,15.01725875,377.6608151,3.518685476,572.9846615,0.21,0.387543845,588,-0.366637,-0.281007,0.081528026,0.047071332,0.200531008,0,-0.0613107,0.097957829,0,0,-0.042057,0.138455655,1,1,-501.0772505,1,1,1,1,0,0,0,0,0,0,0,2.4,,160.88,164.37
