X,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
6,1259.86821400152,1299.86821400152,1336.87116603573,1362.6345745932,5,0.457551920989434,1711290331_2139
9,1259.97975877807,1299.97975877807,1336.98271081227,1362.74611936975,5,0.396826579395135,1711308957_94365
9,1260.08496850835,1300.08496850835,1337.08792054255,1362.85132910002,5,0.490492425191198,1711295659_75394
3,1260.09564834861,1300.09564834861,1337.09860038281,1362.86200894029,5,0.453743829086914,1711316993_4125
6,1260.11202082393,1300.11202082393,1337.11497285813,1362.87838141561,5,0.449354182947045,1711287135_78451
5,1260.13048431592,1300.13048431592,1337.13343635012,1362.8968449076,5,0.418249554650601,1711302792_67817
7,1260.29832034422,1300.29832034422,1337.30127237842,1363.06468093589,5,0.512331120055443,1711300503_71848
2,1260.31853396398,1300.31853396398,1337.32148599818,1363.08489455565,5,0.559058466481026,1711312674_4398
10,1260.32567410522,1300.32567410522,1337.32862613942,1363.0920346969,5,0.51505638452393,1711289367_63357
9,1260.3792933025,1300.3792933025,1337.3822453367,1363.14565389418,5,0.490731441102679,1711297597_68308
8,1260.4319174751,1300.4319174751,1337.4348695093,1363.19827806678,5,0.712269420721156,1711291643_53145
6,1260.45153551404,1300.45153551404,1337.45448754824,1363.21789610572,5,0.55830910094128,1711293563_53472
9,1260.53105318616,1300.53105318616,1337.53400522036,1363.29741377784,5,0.401604836584503,1711306633_12691
9,1260.56174612951,1300.56174612951,1337.56469816371,1363.32810672119,5,0.530230038048013,1711321007_34055
7,1260.57793480687,1300.57793480687,1337.58088684108,1363.34429539855,5,0.458364077847641,1711341537_07221
4,1260.58696267086,1300.58696267086,1337.58991470506,1363.35332326253,5,0.598942048475742,1711292159_69842
5,1260.63066851232,1300.63066851232,1337.63362054652,1363.397029104,5,0.415219737628649,1711300803_0283
6,1260.66174889398,1300.66174889398,1337.66470092818,1363.42810948565,5,0.47930642934879,1711307081_40483
3,1260.81740860921,1300.81740860921,1337.82036064341,1363.58376920089,5,0.611283668893037,1711293751_85411
7,1260.94557708208,1300.94557708208,1337.94852911628,1363.71193767376,5,0.478977348536579,1711294222_80003
7,1260.96844399783,1300.96844399783,1337.97139603203,1363.73480458951,5,0.467195378142071,1711290507_00761
4,1261.08290965607,1301.08290965607,1338.08586169027,1363.84927024774,5,0.48726842842339,1711285971_54286
4,1261.27962570532,1301.27962570532,1338.28257773952,1364.045986297,5,0.437965592768382,1711287360_15485
8,1261.3529175619,1301.3529175619,1338.3558695961,1364.11927815357,5,0.428483219702474,1711294949_62519
5,1261.36735310237,1301.36735310237,1338.37030513657,1364.13371369405,5,0.492616098524515,1711309964_31111
7,1261.58355328259,1301.58355328259,1338.58650531679,1364.34991387426,5,0.576964603839024,1711339919_82597
5,1261.67080149744,1301.67080149744,1338.67375353164,1364.43716208911,5,0.472702015636434,1711292809_96183
7,1261.70965233367,1301.70965233367,1338.71260436788,1364.47601292535,5,0.528519559749993,1711291051_97367
8,1261.72897384195,1301.72897384195,1338.73192587615,1364.49533443362,5,0.520913798526005,1711306520_96065
1,1261.88351210464,1301.88351210464,1338.88646413884,1364.64987269631,5,0.437465135546989,1711294700_17352
10,1262.20531288073,1302.20531288073,1339.20826491493,1364.9716734724,5,0.468637788849825,1711296249_8065
8,1262.55075980404,1302.55075980404,1339.55371183824,1365.31712039572,5,0.454310291170991,1711296889_2219
4,1263.12999285899,1303.12999285899,1340.13294489319,1365.89635345066,5,0.465247257430535,1711317611_14315
6,1265.08736592205,1305.08736592205,1342.09031795625,1367.85372651373,5,0.545391777445628,1711301626_2622
1,1268.49689991694,1308.49689991694,1345.49985195114,1371.26326050862,5,0.547426719783741,1711317690_10587
5,1273.24418065124,1313.24418065124,1350.24713268545,1376.01054124292,5,0.421607311258435,1711309784_79878
5,1273.38362494781,1313.38362494781,1350.38657698201,1376.14998553948,5,0.450384081328983,1711299218_98211
3,1274.03601762437,1314.03601762437,1351.03896965857,1376.80237821605,5,0.45910362340356,1711319330_51833
5,1285.54043005624,1325.54043005624,1362.54338209044,1388.30679064791,5,0.695134181874991,1711286598_05213
2,1287.47420092182,1327.47420092182,1364.47715295602,1390.24056151349,5,0.711115097930229,1711293260_55141
8,1288.04545132732,1328.04545132732,1365.04840336152,1390.811811919,5,0.604514680361509,1711334018_38375
7,1290.12301305661,1330.12301305661,1367.12596509081,1392.88937364829,5,0.57893418755507,1711304985_52537
1,1290.6318575202,1330.6318575202,1367.63480955441,1393.39821811188,5,0.610279763324677,1711311280_97028
6,1290.77062069815,1330.77062069815,1367.77357273235,1393.53698128983,5,0.585274749168211,1711310660_43305
3,1291.0041637554,1331.0041637554,1368.0071157896,1393.77052434708,5,0.411233825189564,1711286033_17759
3,1291.949757474,1331.949757474,1368.9527095082,1394.71611806568,5,0.636834160852974,1711285431_02861
10,1292.33010194579,1332.33010194579,1369.33305397999,1395.09646253747,5,0.566224788891693,1711321665_3958
9,1292.82656821488,1332.82656821488,1369.82952024908,1395.59292880656,5,0.548055343694869,1711334876_76257
3,1296.19682153826,1336.19682153826,1373.19977357246,1398.96318212993,5,0.461902930814844,1711286082_09663
6,1298.54924306002,1338.54924306002,1375.55219509422,1401.3156036517,5,0.610613838335973,1711295075_63713
8,1312.51749117849,1352.51749117849,1389.52044321269,1415.28385177017,5,0.312763892036192,1711301199_07836
5,1314.61928797359,1354.61928797359,1391.62224000779,1417.38564856527,5,0.391959004837056,1711295105_02037
1,1314.63535285603,1354.63535285603,1391.63830489023,1417.40171344771,5,2.2254272421956,1711302801_46467
10,1317.03095757402,1357.03095757402,1394.03390960822,1419.79731816569,5,0.35176826558624,1711293462_35624
3,1320.46976568076,1360.46976568076,1397.47271771496,1423.23612627244,5,0.29417308826845,1711299651_66865
7,1320.89908064927,1360.89908064927,1397.90203268347,1423.66544124095,5,0.236508828946773,1711302561_9365
3,1322.11073689955,1362.11073689955,1399.11368893376,1424.87709749123,5,0.277669457389199,1711313077_50773
4,1323.74909393187,1363.74909393187,1400.75204596607,1426.51545452354,5,0.232181499223668,1711314170_52949
7,1323.97199311699,1363.97199311699,1400.97494515119,1426.73835370866,5,0.19759058281107,1711316853_45056
8,1325.722203024,1365.722203024,1402.7251550582,1428.48856361568,5,0.340255386742425,1711314835_38052
2,1326.13629364769,1366.13629364769,1403.13924568189,1428.90265423936,5,0.196535109143152,1711337467_07304
4,1326.17388544176,1366.17388544176,1403.17683747596,1428.94024603344,5,0.220347135111191,1711309518_12836
2,1326.20255008066,1366.20255008066,1403.20550211486,1428.96891067233,5,0.41913741244841,1711297665_68714
2,1327.0285569068,1367.0285569068,1404.031508941,1429.79491749848,5,0.190305407486216,1711290987_26768
6,1327.06210035416,1367.06210035416,1404.06505238836,1429.82846094584,5,0.187602504052089,1711334023_55349
10,1327.07193327934,1367.07193327934,1404.07488531354,1429.83829387102,5,0.42246106161967,1711304676_8742
6,1327.49981517248,1367.49981517248,1404.50276720668,1430.26617576415,5,0.349774684972999,1711321966_4617
6,1327.62994512197,1367.62994512197,1404.63289715617,1430.39630571365,5,0.21629674818261,1711332399_79416
10,1328.62688638182,1368.62688638182,1405.62983841602,1431.3932469735,5,0.25197784766905,1711318520_25737
2,1328.73319386864,1368.73319386864,1405.73614590284,1431.49955446032,5,0.183287138499721,1711295726_11677
7,1328.97135618151,1368.97135618151,1405.97430821571,1431.73771677318,5,0.334549214014045,1711287806_49245
9,1329.19285583377,1369.19285583377,1406.19580786797,1431.95921642544,5,0.323527418503522,1711297973_57741
10,1329.23850252869,1369.23850252869,1406.24145456289,1432.00486312037,5,0.167951455074557,1711298234_98343
7,1329.43315276703,1369.43315276703,1406.43610480123,1432.19951335871,5,0.241163416786827,1711320101_86591
5,1329.71679112294,1369.71679112294,1406.71974315714,1432.48315171462,5,0.340297596818621,1711314662_57364
2,1329.93710841935,1369.93710841935,1406.94006045356,1432.70346901103,5,0.285170670044916,1711299176_90559
1,1329.93922177397,1369.93922177397,1406.94217380817,1432.70558236565,5,0.191393388211676,1711307858_37608
9,1330.17194859175,1370.17194859175,1407.17490062595,1432.93830918343,5,0.165499093760818,1711292693_66367
2,1331.0432363977,1371.0432363977,1408.0461884319,1433.80959698937,5,0.281684330831327,1711284962_85943
9,1331.06479113906,1371.06479113906,1408.06774317326,1433.83115173074,5,0.386328460956632,1711288891_34119
5,1331.14466659298,1371.14466659298,1408.14761862718,1433.91102718466,5,0.167039383652657,1711339897_73214
10,1331.26647475619,1371.26647475619,1408.26942679039,1434.03283534787,5,0.244170524089928,1711326652_98235
1,1331.37029319359,1371.37029319359,1408.37324522779,1434.13665378527,5,0.281632414563887,1711284070_74988
4,1331.45336648786,1371.45336648786,1408.45631852206,1434.21972707954,5,0.175567267512507,1711306126_2844
2,1331.65146548567,1371.65146548567,1408.65441751988,1434.41782607735,5,0.184039085235108,1711329095_34029
2,1331.68560854119,1371.68560854119,1408.68856057539,1434.45196913287,5,0.349673590737614,1711318646_50094
8,1331.71955940452,1371.71955940452,1408.72251143872,1434.4859199962,5,0.33419446691667,1711303249_21279
2,1331.90078153576,1371.90078153576,1408.90373356996,1434.66714212743,5,0.371496373220732,1711305113_427
4,1332.07633359557,1372.07633359557,1409.07928562977,1434.84269418725,5,0.571936947462657,1711297489_33926
9,1332.57971955099,1372.57971955099,1409.58267158519,1435.34608014267,5,0.249833425287552,1711303963_2637
3,1332.80727887279,1372.80727887279,1409.81023090699,1435.57363946447,5,0.249074927220775,1711300994_15966
3,1332.96651402561,1372.96651402561,1409.96946605981,1435.73287461728,5,0.308285368030325,1711329822_75985
8,1333.27812317766,1373.27812317766,1410.28107521186,1436.04448376934,5,0.288874905137704,1711305833_99472
9,1333.28106489697,1373.28106489697,1410.28401693117,1436.04742548865,5,0.191424748811158,1711318053_04831
8,1334.36470590282,1374.36470590282,1411.36765793702,1437.1310664945,5,0.251963169048052,1711320560_93486
1,1334.78285285824,1374.78285285824,1411.78580489245,1437.54921344992,5,0.227025429767333,1711298702_64481
2,1334.78749174492,1374.78749174492,1411.79044377912,1437.55385233659,5,0.226664854720223,1711287830_37674
9,1334.8204455384,1374.8204455384,1411.8233975726,1437.58680613007,5,0.199895463815416,1711292309_60072
5,1334.87794425324,1374.87794425324,1411.88089628744,1437.64430484492,5,0.246259562366381,1711321249_56772
2,1335.19983749626,1375.19983749626,1412.20278953046,1437.96619808794,5,0.311623639458869,1711307436_18866
3,1335.40255004574,1375.40255004574,1412.40550207994,1438.16891063742,5,0.227587480322903,1711338141_39066
8,1335.55702619166,1375.55702619166,1412.55997822586,1438.32338678334,5,0.207667102040539,1711342530_20099
10,1335.61308122207,1375.61308122207,1412.61603325627,1438.37944181374,5,0.276926432757966,1711335683_67083
5,1335.64220435094,1375.64220435094,1412.64515638514,1438.40856494262,5,0.180601552266141,1711333180_16944
3,1335.80860930073,1375.80860930073,1412.81156133493,1438.5749698924,5,0.201885852441491,1711305599_77605
2,1336.09505312606,1376.09505312606,1413.09800516026,1438.86141371773,5,0.307888756007918,1711312174_80923
9,1336.44249525941,1376.44249525941,1413.44544729361,1439.20885585109,5,0.273644696476144,1711301686_06488
2,1336.4965870211,1376.4965870211,1413.4995390553,1439.26294761278,5,0.15809452414407,1711316551_60108
7,1336.52277381458,1376.52277381458,1413.52572584879,1439.28913440626,5,0.269851845887462,1711307815_52636
10,1336.95091495189,1376.95091495189,1413.95386698609,1439.71727554357,5,0.65939286596279,1711307847_30876
9,1337.00719957239,1377.00719957239,1414.01015160659,1439.77356016407,5,0.208540654431672,1711325901_63516
1,1337.1038927486,1377.1038927486,1414.10684478281,1439.87025334028,5,0.25457084917487,1711292784_71362
4,1337.7587971672,1377.7587971672,1414.7617492014,1440.52515775887,5,0.366628360160347,1711298722_67016
5,1340.85892037554,1380.85892037554,1417.86187240974,1443.62528096722,5,0.274502558379087,1711306604_37206
9,1342.84952847106,1382.84952847106,1419.85248050526,1445.61588906274,5,0.331552811422722,1711343220_00164
2,1354.50234578947,1394.50234578947,1431.50529782367,1457.26870638114,5,0.246642186169549,1711329926_25669
8,1362.48098699991,1402.48098699991,1439.48393903411,1465.24734759159,5,0.859202128622097,1711323574_95402
7,1364.69394393072,1404.69394393072,1441.69689596492,1467.4603045224,5,0.853699358007883,1711305100_03749
4,1377.92134915172,1417.92134915172,1454.92430118593,1480.6877097434,5,0.520459750742016,1711309032_18484
6,1381.11814961594,1421.11814961594,1458.12110165014,1483.88451020762,5,0.500777452302303,1711315150_88065
1,1381.88120608673,1421.88120608673,1458.88415812093,1484.64756667841,5,0.589711502099162,1711328828_17754
8,1382.61079006293,1422.61079006293,1459.61374209713,1485.37715065461,5,0.466319702765745,1711291709_81569
3,1386.08277639485,1426.08277639485,1463.08572842905,1488.84913698653,5,0.24747581429448,1711309033_9657
3,1388.18249940188,1428.18249940188,1465.18545143608,1490.94885999355,5,0.203172256123903,1711288299_649
4,1465.00926324917,1505.00926324917,1542.01221528338,1567.77562384085,5,0.464934194033262,1711320347_00287
6,1483.48670661611,1523.48670661611,1560.48965865031,1586.25306720779,5,0.514811331020039,1711318989_02002
1,1494.42195203547,1534.42195203547,1571.42490406967,1597.18831262715,5,0.313240215491486,1711327380_96853
