run,ay2,ay3,CLM_pop,CLP_pop,corr_f_m_CLP,corr_f_m_V_2,corr_f_m_V_3,corr_V_2_CLP,corr_V_3_CLP,corr_V_3_V_2,f_m_pop,k_a_pop,omega_CLP,omega_f_m,omega_V_2,omega_V_3,Q_25_pop,Q_34_pop,V_2_pop,V_3_pop,V_4_pop
1711317257_14746,0.799175377605844,0.663780046337084,3.30572962054397,1.3641347840658,-0.198853169686362,0.0,0.0,0.938708778066663,0.0,0.0178983100614934,-1.56065,-4.23865938664072,1.64765350599928,0.534415526076911,1.60731153016517,0.481519411375138,-2.48691885771744,0.98931246988556,4.43124131496027,7.08860354902109,6.98818689805314
1711329737_7363,1.23604356896094,0.920623368816691,3.28538236173182,-1.22584729601139,-0.237322229524011,0.0,0.0,0.93361945048996,0.0,0.10633417220305,-1.56065,-4.52889303859541,3.44215528871973,1.45191853638276,3.35046718035699,1.20763977091484,-8.3844410235545,1.00463979392581,1.47933888113837,6.56118067020074,7.91932250171724
1711284074_03404,2.0537591750317,1.50131221946951,-66.7171877451974,6.86079978542532,-0.951072166073269,0.0,0.0,0.125637140291335,0.0,0.159544189955976,-1.56065,6.00275339650401,1.82349547458022,3.09880899565701,5150.31328836146,3319.02305536881,5.30636569831089,-0.137289497974327,14602.2393418738,9627.70967818193,0.333306514602486
1711284654_20126,2.05176218906549,1.47879487275664,-1072.36901230934,6.80393142708373,-0.944733499211185,0.0,0.0,-0.108695058840051,0.0,0.423577521406635,-1.56065,6.03371235544157,1.82780305512071,3.12423021046758,193.475776682413,174.645992822243,-150.969671549362,-22.203341936406,594.293789570534,439.347375009102,-9.62190637100518
1711289788_40529,2.05265323012633,1.49265271444623,-861.510361047136,6.24999134251353,-0.95626218805732,0.0,0.0,-0.109709570471537,0.0,-0.162622374597126,-1.56065,6.00634395162117,2.35687556032839,3.10929846357528,146.936020454777,613.551938373184,-78.2318250619689,-1298.4061939401,545.446835381522,1216.43567233611,-24.8383299911978
1711328728_89186,2.07519685767529,1.48769810897533,675.964445450825,5.64089401133345,-0.964361800051345,0.0,0.0,-0.0096843849789651,0.0,0.0835927398510577,-1.56065,5.98720130225067,2.93837884089798,3.10267612638233,1014414.83813325,3079561.09568696,-758.864663845476,480.007521941393,3392220.05544172,9042404.05611247,2.65926459594605
1711309964_54276,2.04490921016481,1.48412126377909,-0.0013930529692118,6.6069869417538,-0.953539231231371,0.0,0.0,0.135068813602117,0.0,-0.408809406954451,-1.56065,3.74632932570856,2.01415619027257,3.12667336450241,302.251178118536,212.041971968839,-23.9471821066819,-194.71446770552,971.211376492769,1387.73859065276,-113.565229749892
1711337555_1715,2.06227004293401,1.48701449608434,-19.8441852011721,5.45247485025221,-0.966931481437852,0.0,0.0,0.0499115933800882,0.0,0.354941447804876,-1.56065,5.95438580991507,3.17157863405354,3.11942452305891,12658.2212316776,11401.3035280356,-0.0012460556336027,-857.467486625649,40969.826828899,30434.8631393701,333.632265833613
1711304805_7959,2.06855570526955,1.50725945525667,-177.260114088956,7.34903191824958,-0.921331026972442,0.0,0.0,0.12396213641158,0.0,-0.0259573082223549,-1.56065,5.98181320484987,1.34055408018975,3.10953450134565,1563.41884439667,2753.16014016789,25.093722939996,-150.762219773762,5387.73166215917,7087.45583032733,-0.0386108052369678
1711300859_37437,2.04730849857291,1.4950611191801,-13993.1065344633,6.33717545703541,-0.955703326009774,0.0,0.0,0.0888277135684882,0.0,-0.0571361452460858,-1.56065,5.91899169193297,2.27163162560123,3.12138866123481,643217.877998145,543624.894039016,-77.2228184549848,32.7981900024589,3135725.11501308,1947388.9172298,0.139477351150261
1711294144_29412,2.05023614578552,1.48694241531545,3.9818531535267e-06,5.89731526957061,-0.962191394240078,0.0,0.0,0.0185108053025457,0.0,0.492034763351445,-1.56065,5.97432590366923,2.7121506135973,3.13525296138307,65.2814195073124,144.218628515227,-506.331857234165,-0.726085150817689,472.649666107791,496.317864999633,-5.58473131071758
1711289936_98762,2.04814776173523,1.49750363328824,-563.360637944426,6.56324923531436,-0.94869177408327,0.0,0.0,0.226543787338401,0.0,0.538954027297227,-1.56065,5.98341091096368,2.08612583501,3.10696599643993,2326.94559072772,576.212074261604,-47.4711272205349,-322.658746853293,7958.51048258362,2580.97937291092,-0.12630789787786
1711324037_85579,2.06737690436659,1.51994059039822,0.365900877438961,7.26969727041521,-0.920450286640432,0.0,0.0,0.135856248704843,0.0,0.0139218000984104,-1.56065,5.72849975170018,1.45168630568315,3.10879317860954,26505.5857605233,11473.1978643039,-197.741398396502,-2.66386728921718,94059.3827885146,42693.8889782891,4.36592136935824
1711339969_12347,2.06557664934875,1.50517603883384,674.317769655404,6.81332502725937,-0.938031056246815,0.0,0.0,-0.0449996517554987,0.0,-0.269184299677794,-1.56065,5.23322382906633,1.8398904906339,3.10211201428053,1198.79304078467,653.370512065135,0.720295494140283,-72.1647848744391,7470.96536944363,4524.49063061456,47.4675019004117
1711312777_45308,2.05104186334174,1.49413820657833,-4393.31350349309,6.77355787904911,-0.909356912419778,0.0,0.0,0.101608755731393,0.0,-0.035754318826333,-1.56065,5.34192995596899,1.90143354756463,3.10728364795079,637.681499070831,1976.484003912,-56.3230613278926,-6213.62490873516,1606.17175199569,4341.2234380248,-138.44422784906
1711345778_39799,2.07231461127347,1.4942991043446,675.86563413038,7.58845781741802,-0.874519280577491,0.0,0.0,-0.164985152857691,0.0,0.34996004724641,-1.56065,6.01852933182105,1.14723345971081,3.09956859809913,11432425.1746194,7512401.29058096,-14.9631476542529,-8.08397782662158,40378846.5690461,19483251.7696421,7050.02298821144
1711313771_04435,2.11073784220079,1.49982138337303,-3250.06109452979,9.11548269864901,0.553580576955496,0.0,0.0,-0.0309779740679738,0.0,0.0961572797416215,-1.56065,6.01688967711473,1.07398295364101,3.09866133683061,3579388.00443322,2357054.67382196,31.8252807408843,675.539013856705,24918054.291483,11735724.0473528,-0.108329356124135
1711318059_43013,2.22682575899461,1.51134830825702,-685.231140013288,0.0,-0.843539008776121,0.0,0.0,0.538516959317278,0.0,-0.0468377054984273,-1.56065,4.45876261334146,9.31718945310169,6.21677289734588,545944394.239387,23892284.3154869,-0.226224910369083,-8.70322529873382,0.0,87422685.4348694,-659.677089314538
1711331555_12545,2.26233823986065,1.52605053625477,-2869.76802581017,0.0,-0.872792751080186,0.0,0.0,0.473253122786548,0.0,0.353453431762303,-1.56065,5.98684221518969,10.5473834825697,8.06330575781983,1913647068.32692,97201798.2064131,0.0007168251564444,-2938.70363655531,0.0,157109792.20383,269.476020193799
1711305900_76064,2.20832386583566,1.50798569633152,-2536.14500639852,0.0,-0.870291199798778,0.0,0.0,0.497619697243766,0.0,-0.0045706912230286,-1.56065,5.98571792031599,9.93047768988911,7.22308585226245,497283163.139493,3038474.61117868,-399.396165042474,-3563.30086010327,0.0,11724990.7560066,-2.26870997722617
1711322782_04709,2.88116117029743,1.76760423721177,-7896.99401288939,0.0,-0.812902473270348,0.0,0.0,0.550197356634675,0.0,0.326386932745226,-1.56065,5.77042759085413,13.0928382025904,2.80914205424101,358489857.802141,24993638.3564005,-187.734456431824,-7241.47346760394,336716203.648515,24279257.5458577,0.598563513515278
1711338938_93213,3.0926590937916,2.47993586919754,-6035507.31550717,0.0,-0.872938286519566,0.0,0.0,-0.552259673805827,0.0,0.812349073163353,-1.56065,-9.95326460168762,194.34220066141,188.215954625748,8893594748.18184,255993198.005057,-0.0095421712155727,-27449.8575892705,0.0,35968051.563068,43.066996482637
1711299691_00426,3.10208668598358,2.42177307185329,-121.239512100362,0.0,-0.922750340773719,0.0,0.0,-0.58712623392195,0.0,0.781612172287707,-1.56065,-9.97290025772543,219.049310596487,210.517693823036,10285146623.4891,136473123.856435,0.008977893230133,-0.0114130704847638,0.0,32423637.8756002,101.199983562343
1711311919_53272,3.09991395621109,2.58608042696402,-17062.3117470881,0.0,-0.911107866769043,0.0,0.0,-0.602689878712133,0.0,0.726977244432489,-1.56065,-9.92769779218531,213.273671169461,183.808079915392,10032137310.2964,158955125.991124,-3.98208973986668e-07,-2811.07020184771,0.0,35495727.5534863,-522.178310029781
1711330680_22823,3.09635258092699,2.36985582973563,-3742.04618752782,0.0,-0.894610282799357,0.0,0.0,-0.625740696351616,0.0,0.768967644141108,-1.56065,-9.9364703133398,334.810015052263,296.847470884714,15038963057.4143,10099383.0595272,0.0063423918577149,-268.881385938489,0.0,2354626.11565722,-156.670119179013
1711342724_57035,4.3013858118489,1.50164291312008,-2340.97730088591,0.0,-0.98901,0.0,0.0,-0.693191319420838,0.0,0.947044389712958,-1.56065,5.92187802493583,418.739492794732,419.909710512835,2239482382933.54,115102131643.402,2.20040877187953,-2285.38773717266,0.0,0.0,-444.680087243038
