run,ay2,ay3,CLM_pop,CLP_pop,corr_f_m_CLP,corr_f_m_V_2,corr_f_m_V_3,corr_V_2_CLP,corr_V_3_CLP,corr_V_3_V_2,f_m_pop,k_a_pop,omega_CLP,omega_f_m,omega_V_2,omega_V_3,Q_25_pop,Q_34_pop,V_2_pop,V_3_pop,V_4_pop
1711287170_77755,0.594503665835938,0.507946024472337,8.42923834603243,4.62624766124971,-0.912777740670325,-0.929211363957264,-0.935997887483249,0.929649416751573,0.894422338220778,0.95796710538133,-1.56065,-2.75966718138548,0.939847462817079,1.0829434544247,1.04249319687599,1.01065772835041,-0.778979514487213,9.12157236279096,7.74073619975932,13.4939663293988,19.3794734928606
1711315283_94952,0.604489497018337,0.514768284816468,2.30254277791277,4.76651167788151,-0.899791370137785,-0.928351147796422,-0.936458385225924,0.929112388936881,0.878336889422882,0.954714304746598,-1.56065,-2.74405586168688,0.841182596534061,1.06697774361881,0.953082740928195,0.9863390197325,-0.696667081247033,3.07900796900038,7.84182439331598,7.428573213886,13.3472523604232
1711288962_04249,0.596147369747219,0.508942119851932,3.35288990017075,4.63244193818979,-0.927203555310755,-0.930986889031129,-0.939570206894474,0.936371492408957,0.904579074068837,0.953934139787054,-1.56065,-2.66610436736143,0.943083367797044,1.10645785748694,1.04581170948161,1.00984309276937,-0.814147430527819,3.86778806771757,7.75385523524154,8.3129731630508,14.1210868926155
1711296960_48587,0.601996661328171,0.517872259597764,2.35081479489327,4.66135938895071,-0.923299419664862,-0.937508002363541,-0.940107394570211,0.933626449054512,0.899323226260129,0.954712199512454,-1.56065,-2.82229000246446,0.887032551527051,1.03911799030208,0.996997717456308,0.996903484741978,-0.768147310938304,2.89760598584515,7.785103316479,7.2993369988314,12.9885498435253
1711288401_19546,0.596106059276743,0.508589289100359,3.11263479931536,4.79622371162382,-0.879787421658394,-0.912730042699441,-0.936304257664824,0.937400733766757,0.878158594454649,0.949760725701749,-1.56065,-2.70139318238553,0.852300119201579,1.10394922593,0.983057464264713,1.00285721571696,-0.800582893038687,3.40853731227458,7.85590081698366,7.94781155241126,13.5628181190589
1711318353_87488,0.601870789929213,0.511620592046068,2.2084163716018,4.7113812331172,-0.890655583810872,-0.925604223807049,-0.931583875861405,0.928612115035841,0.876921953480686,0.955754373720792,-1.56065,-2.73055142958003,0.867901067185841,1.03554231965277,0.981905623969186,0.973887113190559,-0.699041013479284,2.43557227696243,7.78705131620856,6.99169385635875,12.5216564193669
1711332034_96173,0.601552424299466,0.508085094839633,6.10695399464593,4.74998227232176,-0.888067715215341,-0.925427709378881,-0.937673813572883,0.934952850868642,0.866858489292464,0.945409301989515,-1.56065,-2.76211283956361,0.837248583110661,1.07790417689033,0.980829785527498,1.01995629416539,-0.766592613126051,6.96143075757386,7.80938187874614,11.2761293739594,17.3060742090108
1711301731_96602,0.604703761874951,0.509512119943881,1.518743558755,4.74963845296943,-0.905522921463517,-0.925677796043269,-0.927538311307752,0.929390389546023,0.881692565618773,0.956494042136194,-1.56065,-2.69553112374504,0.849322628631336,1.047431219717,0.96464215295162,0.959856206536973,-0.673208340921967,1.76757380197917,7.82510992698357,6.33368377235609,11.8659314765816
1711298114_70195,0.604350336145352,0.509931566228469,1.80281924134615,4.71033557711124,-0.914343675846345,-0.932966388516027,-0.934720509985925,0.943262599731876,0.900713149094401,0.957437509299298,-1.56065,-2.69833450116433,0.877524023173843,1.05889322170695,1.01416965491975,1.01662298157257,-0.779947450048937,2.18809736479784,7.80778950467321,6.67924708554844,12.3437850197113
1711302154_34483,0.60173440131809,0.507122114342294,6.67705084950124,4.74811668895152,-0.912535880548892,-0.93864098175811,-0.936062284510926,0.935366641722746,0.87717696082273,0.953487164650123,-1.56065,-2.64436115933274,0.892839499804462,1.10179326368355,1.01789348992168,0.993213605664525,-0.753568931283389,7.07668618923787,7.78931246943976,11.5739986846468,17.3292407450719
1711313869_16762,0.597967557207829,0.509393021043889,2.90292800008141,4.64099242954577,-0.92982224011712,-0.919316681429731,-0.935418007011793,0.931583848216927,0.91000776726903,0.954186382304278,-1.56065,-2.65558801686642,0.940990535660031,1.07510549292433,1.00117668945102,0.97000003682306,-0.746945471813508,3.68328228686955,7.77595363932857,8.04926968095947,14.0262983016043
