run,ay2,ay3,CLM_pop,CLP_pop,f_m_pop,k_a_pop,omega_CLP,omega_f_m,omega_V_2,omega_V_3,Q_25_pop,Q_34_pop,V_2_pop,V_3_pop,V_4_pop
1711314445_00498,0.72323615764784,0.607558174070912,3.54619285947555,4.20244424781961,-1.56065,-3.99774783260722,0.13519121977231,0.228965024678099,0.34452833503923,0.227511392478857,-0.442905836274911,1.48598658513583,7.33197307354773,7.38766683949683,7.27300576850214
1711294815_55513,0.72460649893048,0.612466846637706,8.35646405567118,4.18799847099489,-1.56065,-3.99691505532634,0.187653231641147,0.206192110751218,0.312700036423431,0.251460225368288,-0.42867003022978,6.28899537102042,7.32536158010135,12.2117474415019,12.0804797993511
1711295717_08165,0.722451760176563,0.617091538300441,3.30699619154928,4.2124937579774,-1.56065,-3.99337562996425,0.189117584637262,0.227810987813981,0.309879434959304,0.223992618095695,-0.440221941083233,1.24267812983136,7.35131243339488,7.15713810730903,7.04337648978701
1711297076_47967,0.724251996021404,0.611514438657202,2.67342614694717,3.870092784313,-1.56065,-4.04265291621131,0.129772061837714,0.233238244505092,0.352594769784763,0.231083159804491,-0.544940021832331,0.558439884850647,7.00645258561435,6.51813749551655,6.3944820866527
1711313277_93527,0.723639572506225,0.61120999412751,5.2776533794933,3.87424839599996,-1.56065,-4.04958833520356,0.191986555451875,0.217768486915136,0.304223432596484,0.240764427709978,-0.536234597378604,3.16701291195448,7.00241247510232,9.12939813681973,8.9770104240551
1711308899_59831,0.72189553006036,0.610736127003323,3.93289455548479,4.0865747575258,-1.56065,-4.00898536927099,0.176956029241173,0.256586794193817,0.335294814433065,0.222365588691927,-0.478430772057691,1.85049139940399,7.22863245108565,7.7841809444969,7.67462022300508
1711314207_38723,0.723799181362474,0.617002919851879,4.3818589118383,4.03196659206866,-1.56065,-4.02854294047922,0.230215661873636,0.191589501335016,0.281539258607278,0.229751359259282,-0.487522579008054,2.28274181674618,7.16863120441814,8.23469648978205,8.09913103748385
1711313835_86565,0.72265700494319,0.611514117479045,4.81414950020025,4.1647502720048,-1.56065,-3.98575181777564,0.163847097135518,0.245682396532934,0.334120216224644,0.221178636163572,-0.476209182521187,2.75126764498441,7.31930710125053,8.66072535869794,8.5442129542636
1711285730_72758,0.722224258017671,0.608146602687451,4.09214500694388,4.23491689381704,-1.56065,-3.97088039920739,0.164865644608119,0.261747772282834,0.317171433582613,0.239840612654221,-0.416157558620416,2.04124383324839,7.38320279670896,7.94527533094397,7.82396352295313
1711292246_18474,0.722033540736855,0.609320982971525,3.32706292211549,4.07247762994438,-1.56065,-4.01869643979892,0.21160029651668,0.263564322202948,0.300176712592656,0.22483133443248,-0.458343959195064,1.24594796200749,7.20243736691448,7.1699125203718,7.04874540200953
1711288656_26475,0.725423310561191,0.609296031119403,4.66795471161629,3.95353307467731,-1.56065,-4.03891100834049,0.241957356387526,0.247196804317053,0.274967544226199,0.238021802439522,-0.460210345975538,2.57172929637759,7.07209127501762,8.51363143735743,8.36709796598887
1711292616_41804,0.722034142843234,0.615884039006611,3.75860674507762,3.94313708744711,-1.56065,-4.0474787756773,0.191788328019025,0.200367089721928,0.346186786257686,0.196905867975983,-0.539277613815128,1.64189624235612,7.06756525446435,7.59839665981694,7.47858325892757
1711303709_62418,0.72671804940441,0.612352596627791,3.39824561709651,3.82122172107856,-1.56065,-4.05502593286442,0.200472994514587,0.248699024263753,0.289678244382053,0.240300743120815,-0.519199170472848,1.2994227896895,6.93476569848913,7.24569034397683,7.10485188533199
1711289131_43097,0.725382553430942,0.610788877679301,7.66393738117834,3.7388903664319,-1.56065,-4.06108033095006,0.224172074341529,0.218210572889898,0.282176171603296,0.245723414973286,-0.589397522513229,5.55522614678572,6.87182957569671,11.5070464826343,11.3478904865942
1711285149_43538,0.725878072127067,0.613222001630813,6.62440281741867,3.81087874782874,-1.56065,-4.05699503381807,0.238052692318174,0.225936095040235,0.259019622855706,0.232746329764444,-0.54535279817824,4.50958451181863,6.93319812007323,10.476298144286,10.3073386343011
1711291180_61505,0.724153603330452,0.61206534371267,4.55222458566802,3.76233801743857,-1.56065,-4.06969588370123,0.21537719455155,0.249894368549766,0.288912836269305,0.22321651417839,-0.565842144065561,2.42858309935988,6.8718562938348,8.3984532069363,8.24057704314963
1711294276_372,0.723380615242597,0.614152584198051,2.82104082737986,3.63500338152112,-1.56065,-4.07801333437465,0.198263258730682,0.212933153337503,0.315608952292123,0.22993918588246,-0.659862891723165,0.70302118227135,6.75953850183934,6.66780790684015,6.50379458670981
1711312139_28201,0.726630934798159,0.613926024289344,5.54884766306721,3.77516962966097,-1.56065,-4.05495919777591,0.273764895923099,0.202682316132227,0.212279742835228,0.244009194522286,-0.54876393098774,3.45091295675175,6.9008107575601,9.3970164817468,9.21344474349444
1711293240_86302,0.724715737913896,0.616487590806182,4.62960960514995,3.69187969611488,-1.56065,-4.06721201114927,0.259241824767992,0.227185587131843,0.264415136235536,0.222960732945512,-0.604375156275193,2.51660737860459,6.81830935338996,8.46951968699975,8.3160529038512
1711292053_42893,0.724331548335931,0.615177655690634,4.87330720911797,3.54712304798898,-1.56065,-4.08711364452875,0.204257614423844,0.194218185400299,0.313438521219256,0.256786170624263,-0.692432221097453,2.72731349188822,6.67414065986835,8.72857316091068,8.5576924738294
1711295388_60197,0.728580949975122,0.611763867570495,4.43320978441899,3.97101924867803,-1.56065,-4.01813666378241,0.287618944347336,0.233107989201147,0.195580401230536,0.234134120146961,-0.452650076440306,2.36974926683892,7.106416681835,8.27804293537319,8.11837100474452
1711293847_08721,0.725992328293523,0.612402253312838,2.29521008727137,3.82358023180151,-1.56065,-4.05331680209273,0.294769064930144,0.224741037410801,0.200646010432901,0.230775499153643,-0.517356023580934,0.208062232613913,6.93598518968419,6.14494100797106,5.95769683657386
1711290682_68713,0.726551663430926,0.612354242123316,1.26750933673777,3.66810893253996,-1.56065,-4.08992583265946,0.252554488687147,0.236364224956065,0.323855556465253,0.233747290609316,-0.643162181689496,-0.883239823795135,6.77559688098551,5.09932392301988,4.9466378521092
1711305958_59992,0.72853608432222,0.609513709638559,3.50078135242252,4.00995252848999,-1.56065,-4.01566294944191,0.308807718361251,0.233587758476224,0.183027345056649,0.238724923352278,-0.401607281889157,1.43013802460983,7.1295442708862,7.34439370812763,7.18601956567753
1711302503_17235,0.728301196416034,0.612963481994606,5.79709417530885,3.73034868188033,-1.56065,-4.06055627843954,0.287489335496005,0.22828014274316,0.212532698128976,0.247152513440879,-0.555867669699308,3.70547597173813,6.84674782127657,9.6345809653105,9.47476183003354
1711311528_46853,0.728456743414206,0.612580085514339,2.30312764203065,3.85591992535984,-1.56065,-4.04205320850538,0.310717219638534,0.224768318478114,0.183876252326827,0.24425900230165,-0.484985921226873,0.256229483899346,6.97075634657522,6.13838738739279,5.96890911862024
1711297080_42092,0.726769809794067,0.614960945894897,4.2283563380555,3.53349194696465,-1.56065,-4.10484850694716,0.147966287314004,0.172657840614165,0.328015152351767,0.229565074714621,-0.723070290205846,2.05747498038129,6.64762988856786,8.08604560915766,7.88267065889653
1711287925_89856,0.723403016914699,0.613280538544567,4.60567771114687,3.64085572551166,-1.56065,-4.07439094162526,0.216156168303594,0.25353981010016,0.314511223098894,0.211872218202009,-0.657955003062641,2.47174132301988,6.77306595113405,8.44967502400143,8.30247547919313
1711283923_8941,0.727660839247735,0.612848911634973,6.23345220779451,3.62756505897157,-1.56065,-4.070814383894,0.248866252499958,0.220604654508966,0.242639313241244,0.248561816683247,-0.629962237101958,4.10168045928492,6.75686577645104,10.083390786721,9.89891302528128
1711309139_15162,0.729323504961642,0.615495183062902,2.92167678402228,3.71897589538746,-1.56065,-4.06273985149772,0.310620243504046,0.203194126559051,0.190733454079071,0.228108165590031,-0.55438101043977,0.805665161448077,6.83828837827106,6.77007310638048,6.58339613344688
1711300133_68188,0.724638140717129,0.613048246915434,1.92038831602053,3.46087043868115,-1.56065,-4.0813104870034,0.141739464583764,0.235812071066235,0.360778416926289,0.238421884234728,-0.770061477627978,-0.204119352572557,6.60937822734597,5.76014627832136,5.60450241579862
1711313703_06965,0.72438216740389,0.612717579971484,2.37165658211781,3.59789801862745,-1.56065,-4.09972296143943,0.142079616997328,0.243422227696586,0.346142403839975,0.248335424080374,-0.712839639976236,-0.0154990673885373,6.72133156232841,6.26645775069079,6.07866314512785
1711301894_36815,0.724748202882893,0.612226967462863,4.26555245787431,3.41508530889039,-1.56065,-4.10199339087619,0.261069844937551,0.227700889125687,0.265720300217039,0.238001773247817,-0.729191580803823,2.12341407900181,6.51742774028946,8.11552833205632,7.9071051231098
1711291706_06069,0.725774402476431,0.615682182593573,2.73128947998839,3.35788109664769,-1.56065,-4.11064290986136,0.213054124096284,0.212678447652367,0.301278563033717,0.240061314356035,-0.775343006464624,0.58160339828429,6.46549954060726,6.57992259028251,6.37593997363991
1711346603_55099,0.727485419528065,0.617183472820615,3.0940280562635,3.4590445715362,-1.56065,-4.0943397493853,0.295603443222397,0.213328860132937,0.212347685448554,0.233753287526508,-0.674453735441793,0.953484830509474,6.56047469955725,6.94133001236793,6.73383120725115
1711298932_5258,0.724448073240976,0.614131740964652,7.3064766409843,3.43087958515076,-1.56065,-4.09375328765708,0.291185882267465,0.22062357252238,0.229854121104525,0.235115133938456,-0.719610808324577,5.16450632159466,6.54658079040995,11.1509049511137,10.9552323389069
1711311475_91365,0.72447107941876,0.617787920527737,3.31746307522268,3.37109922953563,-1.56065,-4.10799687132941,0.23994398487083,0.208612763273305,0.280065757860801,0.228461863734293,-0.747027273604584,1.15796358936179,6.46444909065738,7.16548636915242,6.96947702536518
1711347134_54153,0.726719621033199,0.615117992662581,4.91974369217159,3.36922753135702,-1.56065,-4.10373325857201,0.258108646837035,0.191490458388874,0.242819248193322,0.247832511168461,-0.765086783944394,2.77795097242491,6.47938698686805,8.76830898442081,8.57370890050358
